,Molecular Formula,Smiles,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Molecular Weight,AlogP,PSA,HBA,HBD,#RO5 Violations,#Rotatable Bonds,QED Weighted,CX LogP,CX LogD,Aromatic Rings,Heavy Atoms,HBA Lipinski,HBD Lipinski,#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Grade
0,C28H29N5,CCc1nc2c(C)cc(C)nc2n1Cc1ccc2c(c1)CCN2C(C#N)c1ccc(C)cc1,,,,,435.58,5.59,57.74,5.0,0.0,1.0,5.0,0.41,5.96,5.96,4.0,33.0,5.0,0.0,1.0,435.2423,10.0
1,C28H27N9O3S,CCCCc1nnc(SCc2ccc([N+](=O)[O-])cc2)n1Cc1ccc(NC(=O)c2ccccc2-c2nnn[nH]2)cc1,14.36,0.27,2.88,5.2,569.65,5.3,157.41,10.0,2.0,2.0,12.0,0.12,5.8,4.2,5.0,41.0,12.0,2.0,3.0,569.1958,4.0
2,C32H27ClN6O,CCCCc1nc2ccc(-c3ccc(Cl)cc3)cc2c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,13.75,0.26,0.57,8.42,547.06,6.95,89.35,6.0,1.0,2.0,8.0,0.22,7.52,6.67,6.0,40.0,7.0,1.0,2.0,546.1935,5.0
3,C24H23N3O3,CCc1nc2c(C)cc(C)nc2n1Cc1ccc(Oc2ccccc2C(=O)O)cc1,15.83,0.29,1.21,8.23,401.47,5.15,77.24,5.0,1.0,1.0,6.0,0.48,4.34,1.64,4.0,30.0,6.0,1.0,1.0,401.1739,8.0
4,C26H23ClN6O,CCCCc1nc2cc(Cl)ccc2c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,16.61,0.31,2.53,8.76,470.96,5.29,89.35,6.0,1.0,1.0,7.0,0.35,6.08,5.01,5.0,34.0,7.0,1.0,1.0,470.1622,5.0
5,C29H39ClN4O4,CCCCCN(CCCCC)C(=O)N1CCN(C(=O)N(c2ccccc2)c2cccc(Cl)c2)[C@H](C(=O)O)C1,9.74,0.19,-1.18,6.27,543.11,6.47,84.4,3.0,1.0,2.0,11.0,0.33,5.87,2.63,2.0,38.0,8.0,1.0,2.0,542.266,10.0
6,C30H26N2O3,CCCCc1nc2cc3ccccc3cc2c(=O)n1Cc1ccc(-c2ccccc2C(=O)O)cc1,13.88,0.25,0.11,8.89,462.55,6.31,72.19,4.0,1.0,1.0,7.0,0.29,5.61,3.81,5.0,35.0,5.0,1.0,1.0,462.1943,8.0
7,C26H23FN6O,CCCCc1nc2cccc(F)c2c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,17.6,0.32,3.23,8.95,454.51,4.77,89.35,6.0,1.0,0.0,7.0,0.38,5.69,4.6,5.0,34.0,7.0,1.0,0.0,454.1917,5.0
8,C26H25N3O5,CCCc1nc2c(C)ccnc2n1Cc1ccc(OC(C(=O)O)c2ccccc2C(=O)O)cc1,14.43,0.27,1.99,5.79,459.5,4.64,114.54,6.0,2.0,0.0,9.0,0.37,4.48,-1.68,4.0,34.0,8.0,2.0,0.0,459.1794,7.0
9,C24H23F3N6O2,CCCCc1nn(CC(F)(F)F)c(C(=O)O)c1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,484.48,4.92,109.58,6.0,2.0,0.0,9.0,0.35,6.0,1.34,4.0,35.0,8.0,2.0,0.0,484.1835,2.0
10,C24H23F3N6O2,CCCCc1nn(CC(F)(F)F)c(C(=O)O)c1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,484.48,4.92,109.58,6.0,2.0,0.0,9.0,0.35,6.0,1.34,4.0,35.0,8.0,2.0,0.0,484.1835,2.0
11,C27H26N2O3,CCCCc1nc2cccc(C)c2c(=O)n1Cc1ccc(-c2ccccc2C(=O)O)cc1,15.08,0.27,0.97,8.91,426.52,5.46,72.19,4.0,1.0,1.0,7.0,0.43,5.14,3.36,4.0,32.0,5.0,1.0,1.0,426.1943,8.0
12,C28H28N6O,CCCCCc1nc2ccc(C)cc2c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,17.64,0.32,2.86,9.17,464.57,5.33,89.35,6.0,1.0,1.0,8.0,0.31,6.13,5.37,5.0,35.0,7.0,1.0,1.0,464.2325,4.0
13,C20H18Br2F3N3O2,CCCCc1nn(-c2ccccc2C(F)(F)F)c(=O)n1Cc1cc(Br)c(O)c(Br)c1,12.02,0.3,0.93,10.99,549.19,5.67,60.05,5.0,1.0,2.0,6.0,0.43,6.97,6.24,3.0,30.0,5.0,1.0,2.0,546.9718,7.0
14,C30H41N3O4,CCCCCN(CCCCC)C(=O)N1CCN(C(=O)C(c2ccccc2)c2ccccc2)C(C(=O)O)C1,,,,,507.68,5.22,81.16,3.0,1.0,2.0,12.0,0.4,5.34,2.17,2.0,37.0,7.0,1.0,2.0,507.3097,10.0
15,C27H25ClN4O4,CCCCc1nn(-c2ccccc2Cl)c(=O)n1Cc1ccc(NC(=O)c2ccccc2C(=O)O)cc1,,,,,504.97,5.03,106.22,6.0,2.0,2.0,9.0,0.33,6.21,2.73,4.0,36.0,8.0,2.0,2.0,504.1564,8.0
16,C27H29N3O4,CCCc1nc2c(C)ccnc2n1Cc1ccc(OC(C(=O)O)c2ccccc2OCC)cc1,16.85,0.31,2.4,8.96,459.55,5.34,86.47,6.0,1.0,1.0,10.0,0.34,5.23,2.24,4.0,34.0,7.0,1.0,1.0,459.2158,5.0
17,C24H29N7O,CCCCc1nn(C(C)(C)C)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,431.54,4.04,94.28,7.0,1.0,0.0,7.0,0.48,6.37,5.11,4.0,32.0,8.0,1.0,0.0,431.2434,5.0
18,C25H25F3N6O2,CCCc1nn(CC(F)(F)F)c(C(=O)OCC)c1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,498.51,5.01,98.58,7.0,1.0,1.0,9.0,0.33,6.53,5.27,4.0,36.0,8.0,1.0,1.0,498.1991,6.0
19,C28H22Cl2N6O2,O=C(O)c1c(Cc2ccc(-c3ccccc3-c3nn[nH]n3)cc2)c(CC2CC2)nn1-c1c(Cl)cccc1Cl,,,,,545.43,6.27,109.58,6.0,2.0,2.0,8.0,0.24,7.36,2.62,5.0,38.0,8.0,2.0,2.0,544.1181,4.0
20,C25H24N4O5,CCCc1nc2c(C)ccnc2n1Cc1ccc(OC(C(=O)O)c2ccccc2[N+](=O)[O-])cc1,15.73,0.29,2.39,6.02,460.49,4.85,120.38,7.0,1.0,0.0,9.0,0.28,4.79,1.87,4.0,34.0,9.0,1.0,0.0,460.1747,6.0
21,C27H25N7O2,CCCCc1nn(-c2ccccn2)c(C(=O)O)c1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,479.54,4.75,122.47,7.0,2.0,0.0,9.0,0.31,6.21,1.46,5.0,36.0,9.0,2.0,0.0,479.207,3.0
22,C27H26N8O,CCc1nc2c(C)cc(C)nc2n1Cc1ccc2c(c1)CCN2C(=O)c1ccccc1-c1nn[nH]n1,,,,,478.56,4.04,105.48,7.0,1.0,0.0,5.0,0.41,4.85,3.53,5.0,36.0,9.0,1.0,0.0,478.223,8.0
23,C27H24N8O,CCc1nc2c(C)cc(C)nc2n1Cc1ccc2c(ccn2C(=O)c2ccccc2-c2nn[nH]n2)c1,,,,,476.54,4.48,107.17,8.0,1.0,0.0,5.0,0.39,5.29,3.96,6.0,36.0,9.0,1.0,0.0,476.2073,4.0
24,C28H30N4O2,CCc1nc2c(C)cc(C)nc2n1Cc1ccc2c(c1)CCN2C(C(=O)OC)c1ccccc1,,,,,454.57,4.94,60.25,6.0,0.0,0.0,6.0,0.39,5.53,5.53,4.0,34.0,6.0,0.0,0.0,454.2369,7.0
25,C27H26N4O2,CCc1nc2c(C)cc(C)nc2n1Cc1ccc2c(ccn2Cc2ccccc2C(=O)O)c1,,,,,438.53,5.36,72.94,5.0,1.0,1.0,6.0,0.39,4.96,2.23,5.0,33.0,6.0,1.0,1.0,438.2056,7.0
26,C27H29ClN4O2,CCc1nc2c(C)cc(C)nc2n1Cc1ccc(N(CC)C(C(=O)O)c2ccccc2Cl)cc1,,,,,477.01,5.96,71.25,5.0,1.0,1.0,8.0,0.34,5.95,3.21,4.0,34.0,6.0,1.0,1.0,476.1979,8.0
27,C29H34N4O2,CCc1nc2c(C)cc(C)nc2n1Cc1ccc(N(CC(C)C)C(C(=O)O)c2ccccc2)cc1,,,,,470.62,5.95,71.25,5.0,1.0,1.0,9.0,0.33,6.33,3.66,4.0,35.0,6.0,1.0,1.0,470.2682,5.0
28,C27H26N8O3S,CCCCc1nnc([S+]([O-])Cc2ccc([N+](=O)[O-])cc2)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,14.84,0.28,3.32,5.54,542.63,4.73,145.38,9.0,1.0,1.0,11.0,0.19,5.33,4.07,5.0,39.0,11.0,1.0,2.0,542.1849,4.0
29,C28H28F2N4O2,C=CCN(c1ccc(Cn2c(CC)nc3c(C)cc(C)nc32)cc1)C(C(=O)O)c1cc(F)ccc1F,,,,,490.55,5.76,71.25,5.0,1.0,1.0,9.0,0.3,5.96,3.2,4.0,36.0,6.0,1.0,1.0,490.218,7.0
30,C40H42N4O6S,CCCc1nc2ccc3cc2c(=O)n1Cc1ccc(cc1)-c1ccccc1S(=O)(=O)NC(=O)CCCCCCCN3C(=O)OCc1ccccc1,12.48,0.24,1.45,6.91,706.86,7.37,127.67,8.0,1.0,2.0,4.0,0.21,7.89,6.75,5.0,51.0,10.0,1.0,2.0,706.2825,3.0
31,C35H35N5O5S,CCCc1nc2ccc(NC(=O)NC(C)C)cc2c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)c2ccccc2)cc1,14.18,0.27,3.34,6.5,637.76,5.71,139.26,7.0,3.0,2.0,10.0,0.18,6.22,5.1,5.0,46.0,10.0,3.0,2.0,637.2359,2.0
32,C28H29N5,CCc1nc2c(C)cc(C)nc2n1Cc1ccc2c(c1)CCN2C(C#N)c1cccc(C)c1,,,,,435.58,5.59,57.74,5.0,0.0,1.0,5.0,0.41,5.96,5.96,4.0,33.0,5.0,0.0,1.0,435.2423,9.0
33,C26H28N4O2,CCc1nc2c(C)cc(C)nc2n1Cc1ccc(NC(C(=O)O)c2ccccc2)c(C)c1,,,,,428.54,5.21,80.04,5.0,2.0,1.0,7.0,0.42,4.76,2.24,4.0,32.0,6.0,2.0,1.0,428.2212,7.0
34,C29H34N4O2,CCc1nc2c(C)cc(C)nc2n1Cc1ccc(N(C(C)CC)C(C(=O)O)c2ccccc2)cc1,,,,,470.62,6.09,71.25,5.0,1.0,1.0,9.0,0.32,6.38,3.71,4.0,35.0,6.0,1.0,1.0,470.2682,6.0
35,C27H27N7O,CCCCc1nnc(OCc2ccccc2)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,13.82,0.25,1.33,6.81,465.56,5.1,94.4,7.0,1.0,1.0,10.0,0.31,6.25,4.99,5.0,35.0,8.0,1.0,1.0,465.2277,8.0
36,C26H25N7S,CCCCc1nnc(Sc2ccccc2)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,14.97,0.28,1.33,8.22,467.6,5.67,85.17,7.0,1.0,1.0,9.0,0.3,7.04,5.77,5.0,34.0,7.0,1.0,1.0,467.1892,7.0
37,C20H21N3O2S,CCCCc1nnc(S)n1Cc1ccc(-c2ccccc2C(=O)O)cc1,16.51,0.32,1.75,8.92,367.47,4.32,68.01,5.0,2.0,0.0,7.0,0.61,4.49,1.24,3.0,26.0,5.0,1.0,0.0,367.1354,8.0
38,C28H27N7O3S,CCCCc1nnc([S+]([O-])Cc2ccccc2C(=O)O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,14.77,0.28,3.48,5.73,541.64,4.52,139.54,8.0,2.0,1.0,11.0,0.25,4.94,0.42,5.0,39.0,10.0,2.0,1.0,541.1896,5.0
39,C24H26N8,CCCCc1nn2cc(CC)nc2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,17.02,0.31,2.93,8.1,426.53,4.33,89.58,7.0,1.0,0.0,8.0,0.4,5.68,4.88,5.0,32.0,8.0,1.0,0.0,426.228,6.0
40,C28H29N7O,CCCCc1nnc(OCCc2ccccc2)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,15.01,0.27,2.06,7.63,479.59,5.14,94.4,7.0,1.0,1.0,11.0,0.28,6.52,5.26,5.0,36.0,8.0,1.0,1.0,479.2434,6.0
41,C27H25ClN8,CCc1nc2c(C)cc(C)nc2n1Cc1ccc2c(ccn2Cc2c(Cl)cccc2-c2nn[nH]n2)c1,,,,,497.01,5.5,90.1,7.0,1.0,1.0,6.0,0.33,6.56,5.31,6.0,36.0,8.0,1.0,1.0,496.1891,3.0
42,C25H22N6O,CCc1nc2ccc(C)cc2c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,422.49,4.16,89.35,6.0,1.0,0.0,5.0,0.46,4.78,4.11,5.0,32.0,7.0,1.0,0.0,422.1855,7.0
43,C28H28N6O,CCCCc1nc2ccc(CC)cc2c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,18.08,0.33,3.2,9.4,464.57,5.2,89.35,6.0,1.0,1.0,8.0,0.34,6.15,5.37,5.0,35.0,7.0,1.0,1.0,464.2325,4.0
44,C29H28N8,CCCCc1nn2c(-c3ccccc3)c(C)nc2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,13.85,0.25,1.03,7.56,488.6,5.74,89.58,7.0,1.0,1.0,8.0,0.29,6.58,5.76,6.0,37.0,8.0,1.0,1.0,488.2437,7.0
45,C27H26N8O2S,CCCCc1nnc(SCc2ccccc2[N+](=O)[O-])n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,13.08,0.25,1.17,5.37,526.63,5.72,128.31,9.0,1.0,2.0,11.0,0.13,6.94,5.68,5.0,38.0,10.0,1.0,2.0,526.1899,7.0
46,C20H20Cl2O3,O=C(O)C(Oc1ccc(Cl)cc1C1CCCCC1)c1ccc(Cl)cc1,20.24,0.42,1.43,16.5,379.28,6.25,46.53,2.0,1.0,1.0,5.0,0.67,6.55,3.25,2.0,25.0,3.0,1.0,1.0,378.0789,5.0
47,C30H28N4O2,O=C(N1CCN(C(=O)N(c2ccccc2)c2ccccc2)CC1)N(c1ccccc1)c1ccccc1,,,,,476.58,6.52,47.1,2.0,0.0,1.0,4.0,0.34,5.35,5.35,4.0,36.0,6.0,0.0,1.0,476.2212,10.0
48,C28H29N7OS,CCCCc1nnc(SCc2cccc(OC)c2)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,13.73,0.26,1.21,7.44,511.66,5.82,94.4,8.0,1.0,2.0,11.0,0.22,6.79,5.53,5.0,37.0,8.0,1.0,2.0,511.2154,6.0
49,C25H32N4O4,CC(C)N(C(=O)N1CCN(C(=O)N(c2ccccc2)c2ccccc2)[C@H](C(=O)O)C1)C(C)C,,,,,452.56,4.25,84.4,3.0,1.0,0.0,5.0,0.73,3.27,0.08,2.0,33.0,8.0,1.0,0.0,452.2424,10.0
50,C29H40N4O4,CCCCCN(CCCCC)C(=O)N1CCN(C(=O)N(c2ccccc2)c2ccccc2)C[C@H]1C(=O)O,9.05,0.17,-1.22,5.45,508.66,5.82,84.4,3.0,1.0,2.0,11.0,0.39,5.26,2.0,2.0,37.0,8.0,1.0,2.0,508.305,10.0
51,C37H27N7O4,CC(=O)Nc1ccc2nc(-c3ccc(-c4ccccc4C(=O)O)cc3)n(Cc3ccc(-c4ccccc4-c4nn[nH]n4)cc3)c(=O)c2c1,11.52,0.21,1.02,4.69,633.67,6.28,155.75,8.0,3.0,2.0,8.0,0.18,5.71,2.0,7.0,48.0,11.0,3.0,3.0,633.2125,6.0
52,C24H23N7O,CCc1nc2c(C)cc(C)nc2n1Cc1ccc(Oc2ccccc2-c2nn[nH]n2)cc1,15.97,0.29,2.17,7.2,425.5,4.63,94.4,7.0,1.0,0.0,6.0,0.43,5.37,4.04,5.0,32.0,8.0,1.0,0.0,425.1964,7.0
53,C29H39BrN4O4,CCCCCN(CCCCC)C(=O)N1CCN(C(=O)N(c2ccccc2)c2ccc(Br)cc2)[C@H](C(=O)O)C1,8.97,0.19,-1.31,6.24,587.56,6.58,84.4,3.0,1.0,2.0,11.0,0.3,6.03,2.61,2.0,38.0,8.0,1.0,2.0,586.2155,10.0
54,C25H31N3O3,CCCc1nc2c(C)ccnc2n1Cc1ccc(OC(C(=O)O)C2CCCCC2)cc1,15.39,0.29,1.34,8.4,421.54,5.15,77.24,5.0,1.0,1.0,8.0,0.54,5.47,2.58,3.0,31.0,6.0,1.0,1.0,421.2365,8.0
55,C36H26N6O3,Cc1ccc2nc(-c3ccc(-c4ccccc4C(=O)O)cc3)n(Cc3ccc(-c4ccccc4-c4nn[nH]n4)cc3)c(=O)c2c1,11.91,0.21,0.41,5.56,590.64,6.63,126.65,7.0,2.0,2.0,7.0,0.21,6.81,3.31,7.0,45.0,9.0,2.0,2.0,590.2066,6.0
56,C35H24N6O3,O=C(O)c1ccccc1-c1ccc(-c2nc3ccccc3c(=O)n2Cc2ccc(-c3ccccc3-c3nn[nH]n3)cc2)cc1,13.35,0.24,1.38,6.08,576.62,6.32,126.65,7.0,2.0,2.0,7.0,0.23,6.39,2.66,7.0,44.0,9.0,2.0,2.0,576.191,5.0
57,C25H23Cl2N3O3,CCCc1nc2c(C)ccnc2n1Cc1ccc(OC(C(=O)O)c2c(Cl)cccc2Cl)cc1,15.85,0.32,1.43,9.94,484.38,6.25,77.24,5.0,1.0,1.0,8.0,0.32,6.19,3.19,4.0,33.0,6.0,1.0,1.0,483.1116,5.0
58,C25H24ClN3O3,CCCc1nc2c(C)ccnc2n1Cc1ccc(OC(C(=O)O)c2ccc(Cl)cc2)cc1,13.95,0.27,0.68,8.12,449.94,5.6,77.24,5.0,1.0,1.0,8.0,0.38,5.62,2.62,4.0,32.0,6.0,1.0,1.0,449.1506,8.0
59,C27H23F9N4O3S,CCc1nc2c(C)cc(C)nc2n1Cc1ccc(Oc2ccccc2NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,11.61,0.24,-0.02,8.83,654.56,7.62,86.11,6.0,1.0,2.0,10.0,0.18,5.14,6.34,4.0,44.0,7.0,1.0,2.0,654.1347,5.0
60,C27H33N7S,CCCCc1nnc(SCC2CCCCC2)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,15.26,0.29,1.25,8.74,487.68,6.19,85.17,7.0,1.0,1.0,10.0,0.27,7.28,6.01,4.0,35.0,7.0,1.0,1.0,487.2518,6.0
61,C35H23N7O5,O=C(O)c1ccccc1-c1ccc(-c2nc3ccc([N+](=O)[O-])cc3c(=O)n2Cc2ccc(-c3ccccc3-c3nn[nH]n3)cc2)cc1,9.7,0.18,-0.2,3.55,621.61,6.23,169.79,9.0,2.0,2.0,8.0,0.15,6.9,2.52,7.0,47.0,12.0,2.0,3.0,621.1761,8.0
62,C18H17Br2N3O3,CCCc1nc2c(C)cc(C(=O)O)nc2n1Cc1cc(Br)c(O)c(Br)c1,16.47,0.42,3.29,9.02,483.16,4.67,88.24,5.0,2.0,0.0,5.0,0.55,5.42,1.59,3.0,26.0,6.0,2.0,0.0,480.9637,5.0
63,C30H42N4O5,CCCCCN(CCCCC)C(=O)N1CCN(C(=O)N(c2ccccc2)c2cccc(OC)c2)[C@H](C(=O)O)C1,,,,,538.69,5.83,93.63,4.0,1.0,2.0,12.0,0.34,5.1,1.76,2.0,39.0,9.0,1.0,2.0,538.3155,10.0
64,C24H23F3N4O3S,CCc1nc2c(C)cc(C)nc2n1Cc1ccc(Oc2ccccc2NS(=O)(=O)C(F)(F)F)cc1,14.45,0.28,1.58,8.47,504.53,5.71,86.11,6.0,1.0,2.0,7.0,0.35,4.56,4.86,4.0,35.0,7.0,1.0,2.0,504.1443,6.0
65,C32H32N4O2,CC1CN(C(=O)N(c2ccccc2)c2ccccc2)C(C)CN1C(=O)N(c1ccccc1)c1ccccc1,,,,,504.63,7.3,47.1,2.0,0.0,2.0,4.0,0.29,6.18,6.18,4.0,38.0,6.0,0.0,2.0,504.2525,10.0
66,C27H27N7S,CCCCc1nnc(SCc2ccccc2)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,16.92,0.32,2.34,9.57,481.63,5.81,85.17,7.0,1.0,1.0,10.0,0.25,6.99,5.73,5.0,35.0,7.0,1.0,1.0,481.2049,4.0
67,C30H34N4O4,CCCCCN(C(=O)N1CCN(C(=O)N(c2ccccc2)c2ccccc2)C[C@H]1C(=O)O)c1ccccc1,8.45,0.16,-1.48,5.15,514.63,5.83,84.4,3.0,1.0,2.0,8.0,0.38,5.15,1.86,3.0,38.0,8.0,1.0,2.0,514.258,10.0
68,C28H26N8,CCCCc1nn2c(-c3ccccc3)cnc2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,14.03,0.25,1.22,7.43,474.57,5.44,89.58,7.0,1.0,1.0,8.0,0.32,6.38,5.56,6.0,36.0,8.0,1.0,1.0,474.228,7.0
69,C30H35N3O3,CCCc1cc(Cn2c(CC)nc3c(C)cc(C)nc32)cc(CCC)c1Oc1ccccc1C(=O)O,15.43,0.28,0.44,9.7,485.63,7.05,77.24,5.0,1.0,1.0,10.0,0.26,7.14,4.45,4.0,36.0,6.0,1.0,1.0,485.2678,6.0
70,C28H30N8O,CCCCc1nnc(NCc2ccc(OC)cc2)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,12.35,0.23,0.97,5.74,494.6,5.14,106.43,8.0,2.0,1.0,11.0,0.26,5.81,4.54,5.0,37.0,9.0,2.0,1.0,494.2543,8.0
71,C28H28N8O,CCCCc1nnc(C(=O)N(C)c2ccccc2)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,13.11,0.24,1.67,6.12,492.59,4.79,105.48,7.0,1.0,0.0,9.0,0.32,5.33,4.06,5.0,37.0,9.0,1.0,0.0,492.2386,8.0
72,C27H26N2O3,CCCCc1nc2cc(C)ccc2c(=O)n1Cc1ccc(-c2ccccc2C(=O)O)cc1,15.08,0.27,0.97,8.91,426.52,5.46,72.19,4.0,1.0,1.0,7.0,0.43,5.13,3.33,4.0,32.0,5.0,1.0,1.0,426.1943,8.0
73,C26H24N6O2,CCCCc1nc2ccc(O)cc2c(=O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,16.73,0.3,3.23,6.91,452.52,4.34,109.58,7.0,2.0,0.0,7.0,0.38,4.44,3.4,5.0,34.0,8.0,2.0,0.0,452.1961,5.0
74,C29H27N3O3,CCCc1nc2c(C)ccnc2n1Cc1ccc(OC(C(=O)O)c2cccc3ccccc23)cc1,15.99,0.29,1.34,9.64,465.55,6.1,77.24,5.0,1.0,1.0,8.0,0.3,6.06,3.14,5.0,35.0,6.0,1.0,1.0,465.2052,6.0
75,C25H25N7O,CCCc1nc2c(C)ccnc2n1Cc1ccc(OC(c2ccccc2)c2nnn[nH]2)cc1,16.18,0.29,2.69,7.54,439.52,4.42,94.4,7.0,1.0,0.0,8.0,0.38,4.62,3.36,5.0,33.0,8.0,1.0,0.0,439.2121,6.0
76,C27H26N2O3,CCCCc1nc2c(C)cccc2c(=O)n1Cc1ccc(-c2ccccc2C(=O)O)cc1,13.72,0.25,0.39,8.11,426.52,5.46,72.19,4.0,1.0,1.0,7.0,0.43,5.18,3.61,4.0,32.0,5.0,1.0,1.0,426.1943,9.0
77,C27H27N5,CCc1nc2c(C)cc(C)nc2n1Cc1ccc2c(c1)CCN2C(C#N)c1ccccc1,,,,,421.55,5.29,57.74,5.0,0.0,1.0,5.0,0.44,5.45,5.45,4.0,32.0,5.0,0.0,1.0,421.2266,8.0
78,C27H26N4O3,CCc1nc2c(C)cc(C)nc2n1Cc1ccc2c(c1)CCN2C(=O)c1ccccc1C(=O)O,,,,,454.53,4.56,88.32,5.0,1.0,0.0,5.0,0.48,3.61,1.0,4.0,34.0,7.0,1.0,0.0,454.2005,6.0
79,C30H42N4O4,CCCCCN(CCCCC)C(=O)N1CCN(C(=O)N(c2ccccc2)c2ccccc2)[C@H](C(=O)OC)C1,8.95,0.17,-1.23,6.37,522.69,5.91,73.4,4.0,0.0,2.0,11.0,0.27,5.41,5.41,2.0,38.0,8.0,0.0,2.0,522.3206,10.0
80,C20H20Br2N2O2,CCCCc1nc2ccc(C)cc2c(=O)n1Cc1cc(Br)c(O)c(Br)c1,13.3,0.34,1.06,11.59,480.2,5.33,55.12,4.0,1.0,1.0,5.0,0.54,5.91,5.49,3.0,26.0,4.0,1.0,1.0,477.9892,8.0
81,C27H52N4O4,CCCCCN(CCCCC)C(=O)N1CCN(C(=O)N(CCCCC)CCCCC)[C@H](C(=O)O)C1,,,,,496.74,5.66,84.4,3.0,1.0,1.0,17.0,0.26,5.48,2.32,0.0,35.0,8.0,1.0,1.0,496.3989,10.0
82,C26H26N4O4,CN(C(=O)N1CCN(C(=O)N(c2ccccc2)c2ccccc2)[C@H](C(=O)O)C1)c1ccccc1,,,,,458.52,4.27,84.4,3.0,1.0,0.0,4.0,0.63,3.38,0.08,3.0,34.0,8.0,1.0,0.0,458.1954,10.0
83,C27H28F2N4O2,CCc1nc2c(C)cc(C)nc2n1Cc1ccc(N(CC)C(C(=O)O)c2cc(F)ccc2F)cc1,,,,,478.54,5.59,71.25,5.0,1.0,1.0,8.0,0.36,5.56,2.81,4.0,35.0,6.0,1.0,1.0,478.218,6.0
84,C26H26F2N4O2,CCc1nc2c(C)cc(C)nc2n1Cc1ccc(N(C)C(C(=O)O)c2cc(F)ccc2F)cc1,,,,,464.52,5.2,71.25,5.0,1.0,1.0,7.0,0.41,5.17,2.41,4.0,34.0,6.0,1.0,1.0,464.2024,7.0
85,C27H26ClN7O2S,CCCCc1nnc(S(=O)(=O)Cc2ccc(Cl)cc2)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,13.35,0.26,2.18,6.13,548.07,5.14,119.31,8.0,1.0,2.0,10.0,0.26,5.98,4.72,5.0,38.0,9.0,1.0,2.0,547.1557,6.0
86,C21H23N7O2S,CCCCc1nnc(S(C)(=O)=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,14.62,0.28,3.48,5.36,437.53,2.92,119.31,8.0,1.0,0.0,8.0,0.45,3.58,2.31,4.0,31.0,9.0,1.0,0.0,437.1634,8.0
87,C29H38N4O5S,CCCCCCCC(=O)NS(=O)(=O)Nc1ccccc1-c1ccc(Cn2c(C(=O)O)cnc2CCCC)cc1,17.48,0.34,3.93,7.44,554.71,5.77,130.39,6.0,3.0,2.0,16.0,0.19,4.29,2.82,3.0,39.0,9.0,3.0,2.0,554.2563,1.0
88,C29H27N7O5,CCCCc1nn(-c2ccc(OC)cc2[N+](=O)[O-])c(C(=O)O)c1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,553.58,5.27,161.95,9.0,2.0,2.0,11.0,0.16,6.58,1.83,5.0,41.0,12.0,2.0,3.0,553.2074,3.0
89,C26H29N3O4S,CCCc1nc(CC)c(C=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)C2CC2)cc1,16.52,0.32,3.78,8.07,479.6,4.14,98.13,6.0,1.0,0.0,10.0,0.44,3.6,3.61,3.0,34.0,7.0,1.0,0.0,479.1879,5.0
