,Molecular Formula,Smiles,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Molecular Weight,AlogP,PSA,HBA,HBD,#RO5 Violations,#Rotatable Bonds,QED Weighted,CX LogP,CX LogD,Aromatic Rings,Heavy Atoms,HBA Lipinski,HBD Lipinski,#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Grade
857,C37H37N7O3,CCCc1nc2ccc(N(Cc3ccccc3)C(=O)OCC(C)C)cc2c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,13.24,0.24,1.27,6.99,627.75,7.04,118.89,8.0,1.0,2.0,11.0,0.16,7.6,6.76,6.0,47.0,10.0,1.0,2.0,627.2958,4.0
858,C32H35N7O3,CCCCc1nc2ccc(N(C)C(=O)OCC(C)C)cc2c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,15.21,0.28,2.74,7.24,565.68,5.86,118.89,8.0,1.0,2.0,10.0,0.23,6.31,5.45,5.0,42.0,10.0,1.0,2.0,565.2801,3.0
859,C32H35N7O3,CCCCc1nc2ccc(N(C)C(=O)OCC(C)C)cc2c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,14.97,0.28,2.61,7.12,565.68,5.86,118.89,8.0,1.0,2.0,10.0,0.23,6.31,5.45,5.0,42.0,10.0,1.0,2.0,565.2801,3.0
860,C32H35N7O3,CCCCc1nc2ccc(N(C)C(=O)OCC(C)C)cc2c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,15.55,0.29,2.94,7.4,565.68,5.86,118.89,8.0,1.0,2.0,10.0,0.23,6.31,5.45,5.0,42.0,10.0,1.0,2.0,565.2801,3.0
861,C32H35N7O3,CCCCc1nc2ccc(N(C)C(=O)OCC(C)C)cc2c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,15.21,0.28,2.74,7.24,565.68,5.86,118.89,8.0,1.0,2.0,10.0,0.23,6.31,5.45,5.0,42.0,10.0,1.0,2.0,565.2801,3.0
862,C34H40N4O6S,CCCCOC(=O)NS(=O)(=O)c1ccccc1-c1ccc(Cn2c(CCC)nc3ccc(NC(=O)CCCC)cc3c2=O)cc1,15.36,0.3,3.31,7.12,632.78,6.41,136.46,8.0,2.0,2.0,14.0,0.15,7.34,6.14,4.0,45.0,10.0,2.0,2.0,632.2669,1.0
863,C34H31F3N4O4S,CCCCc1nn(-c2ccccc2C(F)(F)F)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)Cc2ccccc2)cc1,13.56,0.26,2.64,8.53,648.71,6.16,103.06,7.0,1.0,2.0,11.0,0.18,7.81,6.87,5.0,46.0,8.0,1.0,2.0,648.2018,3.0
864,C34H31F3N4O4S,CCCCc1nn(-c2ccccc2C(F)(F)F)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)Cc2ccccc2)cc1,13.56,0.26,2.64,8.53,648.71,6.16,103.06,7.0,1.0,2.0,11.0,0.18,7.81,6.87,5.0,46.0,8.0,1.0,2.0,648.2018,3.0
865,C27H27N7O2,CCCCc1nn(-c2ccccc2OC)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,481.56,4.28,103.51,8.0,1.0,0.0,9.0,0.34,6.92,5.65,5.0,36.0,9.0,1.0,0.0,481.2226,4.0
866,C27H27N7O2,CCCCc1nn(-c2ccccc2OC)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,16.99,0.31,3.9,7.9,481.56,4.28,103.51,8.0,1.0,0.0,9.0,0.34,6.92,5.65,5.0,36.0,9.0,1.0,0.0,481.2226,4.0
867,C27H27N7O2,CCCCc1nn(-c2ccccc2OC)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,481.56,4.28,103.51,8.0,1.0,0.0,9.0,0.34,6.92,5.65,5.0,36.0,9.0,1.0,0.0,481.2226,4.0
868,C30H27KN8O,CC1(C)CC(=O)NN=C1c1ccc2nc(C3CC3)n(Cc3ccc(-c4ccccc4-c4nn[n-]n4)cc3)c2c1.[K+],,,,,554.7,5.06,113.74,7.0,2.0,2.0,6.0,0.33,5.67,4.81,5.0,39.0,9.0,2.0,2.0,516.2386,4.0
869,C33H28ClF3N4O4S,CCCCc1nn(-c2ccccc2C(F)(F)F)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)c2ccc(Cl)cc2)cc1,13.33,0.26,2.04,8.66,669.12,6.88,103.06,7.0,1.0,2.0,10.0,0.17,8.44,7.5,5.0,46.0,8.0,1.0,2.0,668.1472,3.0
870,C33H31N7O2S,CCCCCN(C(=O)c1cccs1)c1ccc2ncn(Cc3ccc(-c4ccccc4-c4nnnn4C)cc3)c(=O)c2c1,14.5,0.27,2.35,8.66,589.73,6.2,98.8,9.0,0.0,2.0,10.0,0.18,6.36,6.36,6.0,43.0,9.0,0.0,2.0,589.226,3.0
871,C34H33N7O3S,CCCCS(=O)(=O)N(Cc1ccccc1)c1ccc2ncn(Cc3ccc(-c4ccccc4-c4nnnn4C)cc3)c(=O)c2c1,12.32,0.23,2.2,6.59,619.75,5.44,115.87,9.0,0.0,2.0,11.0,0.19,5.52,5.52,6.0,45.0,10.0,0.0,2.0,619.2366,5.0
872,C30H31F3N4O4S,CCCCc1nn(-c2ccccc2C(F)(F)F)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)C(C)C)cc1,15.14,0.3,3.53,8.83,600.66,5.57,103.06,7.0,1.0,2.0,10.0,0.26,7.22,6.28,4.0,42.0,8.0,1.0,2.0,600.2018,2.0
873,C29H26N8O,CC1CC(=O)NN=C1c1ccc2nc(C3CC3)n(Cc3ccc(-c4ccccc4-c4nn[nH]n4)cc3)c2c1,,,,,502.58,4.67,113.74,7.0,2.0,1.0,6.0,0.35,5.08,4.22,5.0,38.0,9.0,2.0,1.0,502.223,3.0
874,C32H29N7O,CCCCc1nn(-c2ccccc2-c2ccccc2)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,527.63,5.94,94.28,7.0,1.0,2.0,9.0,0.25,8.77,7.51,6.0,40.0,8.0,1.0,2.0,527.2434,4.0
